;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
196;0.386131615;0.386131615;0.386131615;0.422234045;0.422234045;0.422234045
197;0.38585935;0.38585935;0.38585935;0.422027856;0.422027856;0.422027856
198;0.385683869;0.385683869;0.385683869;0.421825638;0.421825638;0.421825638
199;0.38530718;0.38530718;0.38530718;0.421780631;0.421780631;0.421780631
200;0.385249202;0.385249202;0.385249202;0.421816166;0.421816166;0.421816166
201;0.385263243;0.385263243;0.385263243;0.421599224;0.421599224;0.421599224
202;0.385347112;0.385347112;0.385347112;0.421609561;0.421609561;0.421609561
203;0.385273869;0.385273869;0.385273869;0.421608279;0.421608279;0.421608279
204;0.384837848;0.384837848;0.384837848;0.421530432;0.421530432;0.421530432
205;0.38431371;0.38431371;0.38431371;0.421508045;0.421508045;0.421508045
206;0.383867975;0.383867975;0.383867975;0.421479567;0.421479567;0.421479567
207;0.383623067;0.383623067;0.383623067;0.421489073;0.421489073;0.421489073
208;0.383417236;0.383417236;0.383417236;0.421402249;0.421402249;0.421402249
209;0.383332582;0.383332582;0.383332582;0.42193243;0.42193243;0.42193243
210;0.383730756;0.383730756;0.383730756;0.421922694;0.421922694;0.421922694
211;0.38435904;0.38435904;0.38435904;0.421806933;0.421806933;0.421806933
212;0.384110163;0.384110163;0.384110163;0.421871149;0.421871149;0.421871149
213;0.383955644;0.383955644;0.383955644;0.421838614;0.421838614;0.421838614
214;0.383944091;0.383944091;0.383944091;0.421851891;0.421851891;0.421851891
215;0.383290439;0.383290439;0.383290439;0.421786345;0.421786345;0.421786345
216;0.383104019;0.383104019;0.383104019;0.42180549;0.42180549;0.42180549
217;0.382868833;0.382868833;0.382868833;0.421819306;0.421819306;0.421819306
218;0.382731941;0.382731941;0.382731941;0.42168539;0.42168539;0.42168539
219;0.3826372;0.3826372;0.3826372;0.421019493;0.421019493;0.421019493
220;0.382376016;0.382376016;0.382376016;0.421019451;0.421019451;0.421019451
221;0.382252535;0.382252535;0.382252535;0.420977148;0.420977148;0.420977148
222;0.382103431;0.382103431;0.382103431;0.420987014;0.420987014;0.420987014
223;0.382111963;0.382111963;0.382111963;0.420961563;0.420961563;0.420961563
