;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
275;49.92;49.92;49.92;75.07;75.07;75.07;59.86;59.86;59.86
276;49.83;49.83;49.83;74.97;74.97;74.97;59.84;59.84;59.84
277;49.77;49.77;49.77;74.91;74.91;74.91;59.65;59.65;59.65
278;49.62;49.62;49.62;74.88;74.88;74.88;59.64;59.64;59.64
279;49.51;49.51;49.51;74.84;74.84;74.84;59.24;59.24;59.24
280;49.4;49.4;49.4;74.75;74.75;74.75;59.19;59.19;59.19
281;49.3;49.3;49.3;74.68;74.68;74.68;59.03;59.03;59.03
282;49.19;49.19;49.19;74.63;74.63;74.63;58.76;58.76;58.76
283;49.09;49.09;49.09;74.6;74.6;74.6;58.67;58.67;58.67
284;48.9;48.9;48.9;74.45;74.45;74.45;58.61;58.61;58.61
285;48.88;48.88;48.88;74.4;74.4;74.4;58.43;58.43;58.43
286;48.74;48.74;48.74;74.14;74.14;74.14;58.36;58.36;58.36
287;48.63;48.63;48.63;74.09;74.09;74.09;58.28;58.28;58.28
288;48.54;48.54;48.54;73.94;73.94;73.94;58.19;58.19;58.19
289;48.46;48.46;48.46;73.91;73.91;73.91;58.17;58.17;58.17
290;48.35;48.35;48.35;73.87;73.87;73.87;57.99;57.99;57.99
291;48.22;48.22;48.22;73.82;73.82;73.82;57.96;57.96;57.96
292;48.16;48.16;48.16;73.74;73.74;73.74;57.82;57.82;57.82
293;48.07;48.07;48.07;73.43;73.43;73.43;57.8;57.8;57.8
294;47.96;47.96;47.96;73.36;73.36;73.36;57.59;57.59;57.59
295;47.86;47.86;47.86;73.02;73.02;73.02;57.49;57.49;57.49
296;47.77;47.77;47.77;72.99;72.99;72.99;57.03;57.03;57.03
297;47.67;47.67;47.67;72.96;72.96;72.96;56.99;56.99;56.99
298;47.52;47.52;47.52;72.91;72.91;72.91;56.87;56.87;56.87
299;47.51;47.51;47.51;72.87;72.87;72.87;56.71;56.71;56.71
300;47.41;47.41;47.41;72.79;72.79;72.79;56.53;56.53;56.53
301;47.28;47.28;47.28;72.76;72.76;72.76;56.44;56.44;56.44
302;47.21;47.21;47.21;72.7;72.7;72.7;56.43;56.43;56.43
303;47.11;47.11;47.11;72.65;72.65;72.65;56.33;56.33;56.33
304;47.0;47.0;47.0;72.64;72.64;72.64;56.32;56.32;56.32
305;46.93;46.93;46.93;72.5;72.5;72.5;56.24;56.24;56.24
306;46.84;46.84;46.84;72.47;72.47;72.47;56.19;56.19;56.19
307;46.71;46.71;46.71;72.44;72.44;72.44;56.15;56.15;56.15
308;46.64;46.64;46.64;72.37;72.37;72.37;56.07;56.07;56.07
309;46.58;46.58;46.58;72.32;72.32;72.32;56.03;56.03;56.03
310;46.41;46.41;46.41;72.02;72.02;72.02;55.3;55.3;55.3
311;46.33;46.33;46.33;72.0;72.0;72.0;55.14;55.14;55.14
312;46.23;46.23;46.23;71.75;71.75;71.75;55.12;55.12;55.12
313;46.09;46.09;46.09;71.67;71.67;71.67;54.93;54.93;54.93
314;46.0;46.0;46.0;71.65;71.65;71.65;54.79;54.79;54.79
315;45.9;45.9;45.9;71.61;71.61;71.61;54.72;54.72;54.72
316;45.79;45.79;45.79;71.55;71.55;71.55;54.65;54.65;54.65
317;45.7;45.7;45.7;71.53;71.53;71.53;54.52;54.52;54.52
318;45.64;45.64;45.64;71.49;71.49;71.49;54.29;54.29;54.29
319;45.55;45.55;45.55;71.0;71.0;71.0;54.23;54.23;54.23
320;45.47;45.47;45.47;70.78;70.78;70.78;54.2;54.2;54.2
321;45.41;45.41;45.41;70.76;70.76;70.76;54.07;54.07;54.07
322;45.35;45.35;45.35;70.7;70.7;70.7;54.0;54.0;54.0
323;45.27;45.27;45.27;70.61;70.61;70.61;53.93;53.93;53.93
324;45.18;45.18;45.18;70.53;70.53;70.53;53.91;53.91;53.91
325;45.11;45.11;45.11;70.38;70.38;70.38;53.81;53.81;53.81
326;45.04;45.04;45.04;70.23;70.23;70.23;53.72;53.72;53.72
327;44.96;44.96;44.96;70.19;70.19;70.19;53.66;53.66;53.66
328;44.88;44.88;44.88;70.15;70.15;70.15;53.63;53.63;53.63
329;44.79;44.79;44.79;70.13;70.13;70.13;53.55;53.55;53.55
330;44.7;44.7;44.7;70.09;70.09;70.09;53.48;53.48;53.48
331;44.67;44.67;44.67;70.01;70.01;70.01;53.36;53.36;53.36
332;44.57;44.57;44.57;69.97;69.97;69.97;53.3;53.3;53.3
333;44.57;44.57;44.57;69.95;69.95;69.95;53.29;53.29;53.29
334;44.48;44.48;44.48;69.92;69.92;69.92;53.26;53.26;53.26
335;44.39;44.39;44.39;69.54;69.54;69.54;52.99;52.99;52.99
336;44.37;44.37;44.37;69.49;69.49;69.49;52.79;52.79;52.79
337;44.24;44.24;44.24;69.44;69.44;69.44;52.66;52.66;52.66
338;44.19;44.19;44.19;69.27;69.27;69.27;52.59;52.59;52.59
339;44.14;44.14;44.14;69.22;69.22;69.22;52.4;52.4;52.4
340;44.06;44.06;44.06;69.2;69.2;69.2;52.39;52.39;52.39
341;44.02;44.02;44.02;69.16;69.16;69.16;52.38;52.38;52.38
342;43.92;43.92;43.92;69.06;69.06;69.06;52.25;52.25;52.25
343;43.83;43.83;43.83;69.02;69.02;69.02;52.25;52.25;52.25
344;43.81;43.81;43.81;69.0;69.0;69.0;52.23;52.23;52.23
345;43.72;43.72;43.72;68.98;68.98;68.98;52.17;52.17;52.17
