;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
41;135.695467854;135.695467854;135.695467854;173.467934642;173.467934642;173.467934642;158.256594805;158.256594805;158.256594805;195.047566859;195.047566859;195.047566859;215.931038978;215.931038978;215.931038978
42;134.420657658;134.420657658;134.420657658;169.3712466;169.3712466;169.3712466;157.039597074;157.039597074;157.039597074;194.996492513;194.996492513;194.996492513;214.959549623;214.959549623;214.959549623
43;133.111941035;133.111941035;133.111941035;169.316903766;169.316903766;169.316903766;156.423799316;156.423799316;156.423799316;194.924771771;194.924771771;194.924771771;214.961274651;214.961274651;214.961274651
44;131.80848163;131.80848163;131.80848163;168.827317205;168.827317205;168.827317205;155.33208577;155.33208577;155.33208577;191.461213347;191.461213347;191.461213347;214.935964898;214.935964898;214.935964898
45;130.505964099;130.505964099;130.505964099;168.039097792;168.039097792;168.039097792;152.550854711;152.550854711;152.550854711;190.646451451;190.646451451;190.646451451;214.221320476;214.221320476;214.221320476
46;129.32812696;129.32812696;129.32812696;165.941141806;165.941141806;165.941141806;151.993803193;151.993803193;151.993803193;190.162815463;190.162815463;190.162815463;210.338409585;210.338409585;210.338409585
47;127.636844906;127.636844906;127.636844906;164.303039813;164.303039813;164.303039813;151.419463716;151.419463716;151.419463716;190.11354587;190.11354587;190.11354587;207.646358642;207.646358642;207.646358642
48;126.104466801;126.104466801;126.104466801;161.999558316;161.999558316;161.999558316;150.026342987;150.026342987;150.026342987;189.679238527;189.679238527;189.679238527;207.492716082;207.492716082;207.492716082
49;124.633837049;124.633837049;124.633837049;160.629557281;160.629557281;160.629557281;147.604692578;147.604692578;147.604692578;188.575306326;188.575306326;188.575306326;207.343278111;207.343278111;207.343278111
50;123.452959319;123.452959319;123.452959319;158.994883597;158.994883597;158.994883597;146.973797279;146.973797279;146.973797279;188.414891133;188.414891133;188.414891133;206.849759597;206.849759597;206.849759597
51;122.374790349;122.374790349;122.374790349;158.920598248;158.920598248;158.920598248;146.475183953;146.475183953;146.475183953;187.800255217;187.800255217;187.800255217;206.840353087;206.840353087;206.840353087
52;121.319513034;121.319513034;121.319513034;158.553499633;158.553499633;158.553499633;145.565635636;145.565635636;145.565635636;187.518923338;187.518923338;187.518923338;206.472773518;206.472773518;206.472773518
53;120.827778156;120.827778156;120.827778156;156.522231335;156.522231335;156.522231335;144.549487586;144.549487586;144.549487586;186.712966729;186.712966729;186.712966729;201.721479325;201.721479325;201.721479325
54;120.23270183;120.23270183;120.23270183;156.12190935;156.12190935;156.12190935;142.705678147;142.705678147;142.705678147;186.454584083;186.454584083;186.454584083;201.564232952;201.564232952;201.564232952
55;119.38130143;119.38130143;119.38130143;153.293208573;153.293208573;153.293208573;142.084290342;142.084290342;142.084290342;186.208264484;186.208264484;186.208264484;201.41414114;201.41414114;201.41414114
