;derivative_mean;derivative_min;derivative_max
624;31.51;31.51;31.51
625;31.48;31.48;31.48
626;31.47;31.47;31.47
627;31.44;31.44;31.44
628;31.42;31.42;31.42
629;31.39;31.39;31.39
630;31.33;31.33;31.33
631;31.27;31.27;31.27
632;31.24;31.24;31.24
633;31.21;31.21;31.21
634;31.19;31.19;31.19
635;31.17;31.17;31.17
636;31.14;31.14;31.14
637;31.12;31.12;31.12
638;31.11;31.11;31.11
639;31.08;31.08;31.08
640;31.07;31.07;31.07
641;31.04;31.04;31.04
642;31.0;31.0;31.0
643;31.02;31.02;31.02
644;30.99;30.99;30.99
645;30.96;30.96;30.96
646;30.93;30.93;30.93
647;30.9;30.9;30.9
648;30.89;30.89;30.89
649;30.86;30.86;30.86
650;30.82;30.82;30.82
651;30.8;30.8;30.8
652;30.78;30.78;30.78
653;30.77;30.77;30.77
654;30.75;30.75;30.75
655;30.71;30.71;30.71
656;30.68;30.68;30.68
657;30.66;30.66;30.66
658;30.64;30.64;30.64
659;30.61;30.61;30.61
660;30.6;30.6;30.6
661;30.57;30.57;30.57
662;30.53;30.53;30.53
663;30.5;30.5;30.5
664;30.48;30.48;30.48
665;30.45;30.45;30.45
666;30.43;30.43;30.43
667;30.4;30.4;30.4
668;30.38;30.38;30.38
669;30.36;30.36;30.36
670;30.33;30.33;30.33
671;30.31;30.31;30.31
672;30.28;30.28;30.28
673;30.27;30.27;30.27
674;30.23;30.23;30.23
675;30.21;30.21;30.21
676;30.18;30.18;30.18
677;30.16;30.16;30.16
678;30.14;30.14;30.14
679;30.14;30.14;30.14
680;30.11;30.11;30.11
681;30.1;30.1;30.1
682;30.08;30.08;30.08
683;30.08;30.08;30.08
684;30.06;30.06;30.06
685;30.05;30.05;30.05
686;30.03;30.03;30.03
687;30.0;30.0;30.0
688;29.99;29.99;29.99
689;29.96;29.96;29.96
690;29.93;29.93;29.93
691;29.92;29.92;29.92
692;29.94;29.94;29.94
693;29.91;29.91;29.91
694;29.89;29.89;29.89
695;29.86;29.86;29.86
696;29.84;29.84;29.84
697;29.8;29.8;29.8
698;29.81;29.81;29.81
699;29.78;29.78;29.78
700;29.77;29.77;29.77
701;29.74;29.74;29.74
702;29.71;29.71;29.71
703;29.69;29.69;29.69
704;29.68;29.68;29.68
705;29.66;29.66;29.66
706;29.62;29.62;29.62
707;29.59;29.59;29.59
708;29.57;29.57;29.57
709;29.54;29.54;29.54
710;29.51;29.51;29.51
711;29.49;29.49;29.49
712;29.47;29.47;29.47
713;29.45;29.45;29.45
714;29.43;29.43;29.43
715;29.41;29.41;29.41
716;29.37;29.37;29.37
717;29.35;29.35;29.35
718;29.33;29.33;29.33
719;29.3;29.3;29.3
720;29.28;29.28;29.28
721;29.26;29.26;29.26
722;29.25;29.25;29.25
723;29.22;29.22;29.22
724;29.19;29.19;29.19
725;29.17;29.17;29.17
726;29.16;29.16;29.16
727;29.15;29.15;29.15
728;29.14;29.14;29.14
729;29.12;29.12;29.12
730;29.11;29.11;29.11
731;29.09;29.09;29.09
732;29.07;29.07;29.07
733;29.05;29.05;29.05
734;29.02;29.02;29.02
735;29.0;29.0;29.0
736;28.98;28.98;28.98
737;28.95;28.95;28.95
738;28.93;28.93;28.93
739;28.92;28.92;28.92
740;28.92;28.92;28.92
741;28.89;28.89;28.89
