;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max
354;68.14;68.14;68.14;70.37;70.37;70.37
355;68.11;68.11;68.11;69.95;69.95;69.95
356;68.1;68.1;68.1;69.92;69.92;69.92
357;68.06;68.06;68.06;69.81;69.81;69.81
358;67.88;67.88;67.88;69.81;69.81;69.81
359;67.83;67.83;67.83;69.61;69.61;69.61
360;67.81;67.81;67.81;69.35;69.35;69.35
361;67.65;67.65;67.65;69.26;69.26;69.26
362;67.61;67.61;67.61;69.15;69.15;69.15
363;67.51;67.51;67.51;69.14;69.14;69.14
364;67.26;67.26;67.26;69.13;69.13;69.13
365;67.22;67.22;67.22;69.14;69.14;69.14
366;67.21;67.21;67.21;68.92;68.92;68.92
367;67.17;67.17;67.17;68.87;68.87;68.87
368;67.11;67.11;67.11;68.57;68.57;68.57
369;67.05;67.05;67.05;68.48;68.48;68.48
370;66.71;66.71;66.71;68.46;68.46;68.46
371;66.67;66.67;66.67;68.41;68.41;68.41
372;66.66;66.66;66.66;68.35;68.35;68.35
373;66.57;66.57;66.57;68.34;68.34;68.34
374;66.55;66.55;66.55;68.27;68.27;68.27
375;66.4;66.4;66.4;68.24;68.24;68.24
376;66.37;66.37;66.37;68.22;68.22;68.22
377;66.35;66.35;66.35;68.19;68.19;68.19
378;66.05;66.05;66.05;68.18;68.18;68.18
379;66.01;66.01;66.01;68.16;68.16;68.16
380;65.76;65.76;65.76;67.54;67.54;67.54
381;65.74;65.74;65.74;67.44;67.44;67.44
382;65.65;65.65;65.65;67.38;67.38;67.38
383;65.62;65.62;65.62;67.39;67.39;67.39
384;65.59;65.59;65.59;67.26;67.26;67.26
385;65.55;65.55;65.55;67.12;67.12;67.12
386;65.49;65.49;65.49;67.09;67.09;67.09
387;65.46;65.46;65.46;67.06;67.06;67.06
388;65.42;65.42;65.42;67.03;67.03;67.03
389;65.41;65.41;65.41;66.87;66.87;66.87
390;65.38;65.38;65.38;66.83;66.83;66.83
391;65.34;65.34;65.34;66.8;66.8;66.8
392;65.33;65.33;65.33;66.55;66.55;66.55
393;65.31;65.31;65.31;66.42;66.42;66.42
394;65.27;65.27;65.27;66.42;66.42;66.42
395;65.26;65.26;65.26;66.34;66.34;66.34
396;65.23;65.23;65.23;66.33;66.33;66.33
397;65.17;65.17;65.17;66.23;66.23;66.23
398;65.16;65.16;65.16;66.1;66.1;66.1
399;64.81;64.81;64.81;66.09;66.09;66.09
400;64.8;64.8;64.8;66.05;66.05;66.05
401;64.76;64.76;64.76;65.97;65.97;65.97
402;64.64;64.64;64.64;65.9;65.9;65.9
403;64.63;64.63;64.63;65.87;65.87;65.87
404;64.59;64.59;64.59;65.85;65.85;65.85
405;64.54;64.54;64.54;65.82;65.82;65.82
406;64.36;64.36;64.36;65.8;65.8;65.8
407;64.11;64.11;64.11;65.71;65.71;65.71
408;64.08;64.08;64.08;65.6;65.6;65.6
409;64.06;64.06;64.06;65.55;65.55;65.55
410;64.05;64.05;64.05;65.55;65.55;65.55
411;64.04;64.04;64.04;65.48;65.48;65.48
412;64.01;64.01;64.01;65.45;65.45;65.45
413;63.95;63.95;63.95;65.45;65.45;65.45
414;63.84;63.84;63.84;65.43;65.43;65.43
415;63.79;63.79;63.79;65.38;65.38;65.38
416;63.75;63.75;63.75;65.27;65.27;65.27
417;63.14;63.14;63.14;65.23;65.23;65.23
418;63.13;63.13;63.13;65.04;65.04;65.04
419;63.07;63.07;63.07;65.0;65.0;65.0
420;63.04;63.04;63.04;64.94;64.94;64.94
421;63.02;63.02;63.02;64.87;64.87;64.87
422;62.98;62.98;62.98;64.47;64.47;64.47
423;62.84;62.84;62.84;64.24;64.24;64.24
424;62.83;62.83;62.83;64.24;64.24;64.24
425;62.79;62.79;62.79;64.23;64.23;64.23
426;62.78;62.78;62.78;63.99;63.99;63.99
427;62.76;62.76;62.76;63.98;63.98;63.98
428;62.62;62.62;62.62;63.83;63.83;63.83
429;62.39;62.39;62.39;63.53;63.53;63.53
430;62.19;62.19;62.19;62.99;62.99;62.99
431;62.17;62.17;62.17;62.61;62.61;62.61
432;62.11;62.11;62.11;62.59;62.59;62.59
433;62.1;62.1;62.1;61.77;61.77;61.77
434;62.07;62.07;62.07;61.69;61.69;61.69
435;62.04;62.04;62.04;61.31;61.31;61.31
436;62.02;62.02;62.02;61.1;61.1;61.1
437;61.94;61.94;61.94;60.86;60.86;60.86
438;61.92;61.92;61.92;60.86;60.86;60.86
439;61.91;61.91;61.91;60.55;60.55;60.55
440;61.71;61.71;61.71;60.53;60.53;60.53
