;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
562;38.96;38.96;38.96
563;38.85;38.85;38.85
564;38.78;38.78;38.78
565;38.74;38.74;38.74
566;38.72;38.72;38.72
567;38.69;38.69;38.69
568;38.67;38.67;38.67
569;38.64;38.64;38.64
570;38.56;38.56;38.56
571;38.56;38.56;38.56
572;38.53;38.53;38.53
573;38.49;38.49;38.49
574;38.44;38.44;38.44
575;38.36;38.36;38.36
576;38.31;38.31;38.31
577;38.29;38.29;38.29
578;38.26;38.26;38.26
579;38.19;38.19;38.19
580;38.15;38.15;38.15
581;38.1;38.1;38.1
582;38.07;38.07;38.07
583;38.04;38.04;38.04
584;38.03;38.03;38.03
585;38.01;38.01;38.01
586;37.9;37.9;37.9
587;37.88;37.88;37.88
588;37.83;37.83;37.83
589;37.8;37.8;37.8
590;37.78;37.78;37.78
591;37.69;37.69;37.69
592;37.63;37.63;37.63
593;37.43;37.43;37.43
594;37.42;37.42;37.42
595;37.4;37.4;37.4
596;37.39;37.39;37.39
597;37.33;37.33;37.33
598;37.3;37.3;37.3
599;37.26;37.26;37.26
600;37.21;37.21;37.21
601;37.14;37.14;37.14
602;37.08;37.08;37.08
603;37.08;37.08;37.08
604;37.05;37.05;37.05
605;37.02;37.02;37.02
606;36.98;36.98;36.98
607;36.92;36.92;36.92
608;36.9;36.9;36.9
609;36.87;36.87;36.87
610;36.84;36.84;36.84
611;36.81;36.81;36.81
612;36.78;36.78;36.78
613;36.74;36.74;36.74
614;36.69;36.69;36.69
615;36.54;36.54;36.54
616;36.51;36.51;36.51
617;36.49;36.49;36.49
618;36.47;36.47;36.47
619;36.42;36.42;36.42
620;36.39;36.39;36.39
621;36.33;36.33;36.33
622;36.32;36.32;36.32
623;36.29;36.29;36.29
624;36.17;36.17;36.17
625;36.13;36.13;36.13
626;36.11;36.11;36.11
627;36.08;36.08;36.08
628;36.06;36.06;36.06
629;36.05;36.05;36.05
630;36.02;36.02;36.02
631;36.0;36.0;36.0
632;35.94;35.94;35.94
633;35.86;35.86;35.86
